i,progress,numcount,bftime,mytime
1,0,0,0.016625000000033197,0.06320799999997462
2,0,0,0.0007919999999899119,0.00354200000003857
4,0,0,0.0014579999999568827,0.006750000000010914
8,0,0,0.003290999999990163,0.006084000000043943
16,0,1,0.003459000000020751,0.008915999999999258
32,0,2,0.002833999999950265,0.006000000000028649
64,0,5,0.005125000000020918,0.004500000000007276
128,0,9,0.010084000000006199,0.005540999999993801
256,0,9,0.018916000000047006,0.004916999999977634
512,0,9,0.035833000000025095,0.007000000000005002
1024,0,10,0.04912500000000364,0.022249999999985448
2048,0,20,0.1506249999999909,0.018083999999987554
4096,0,40,0.0858339999999771,0.020040999999991982
8192,0,81,0.18475000000000819,0.020250000000032742
16384,0,99,0.260832999999991,0.031375000000025466
32768,0,99,0.49254099999996015,0.019875000000013188
65536,0,99,0.8275409999999965,0.013542000000029475
131072,0,130,2.019584000000009,0.052874999999971806
262144,0,261,5.051333999999997,0.059833000000026004
524288,0,523,24.81158300000004,0.10033399999997528
1048576,0,999,29.02770799999996,0.0881249999999909
2097152,0,999,38.182290999999964,0.08416699999997945
4194304,0,999,65.98979199999997,0.08333300000003874
8388608,0,999,123.71366599999999,0.08199999999999363
16777216,0,1677,312.3095830000001,0.5795419999999467
33554432,0,3355,724.2725,0.6337499999999636
67108864,0,6710,1545.7980410000002,0.8379999999997381
134217728,0,9999,2887.526458,0.997957999999926
268435456,0,9999,4965.196959,0.9961249999996653
536870912,0,9999,9155.474542000002,1.0183749999996508
1073741824,0,10737,18241.659459000002,6.486832999995386
2147483648,0,21474,46388.42791699999,7.21616600001289
4294967296,0,42949,163689.803,8.434166999999434
8589934592,0,85898,377430.104542,11.374792000046
17179869184,0,99999,,12.012374999932945
34359738368,0,99999,,12.022542000049725
68719476736,0.01,99999,,12.219500000122935
137438953472,0.02,137438,,89.24449999979697
274877906944,0.03,274877,,114.98583299992606
549755813888,0.06,549755,,222.125207999954
1099511627776,0.12,999999,,320.845750000095
2199023255552,0.24,999999,,323.0219999998808
4398046511104,0.49,999999,,370.2872909998987
8796093022208,0.98,999999,,360.6332499999553
17592186044416,1.95,1759218,,1602.9602919998579
35184372088832,3.91,3518436,,2484.849958000006
70368744177664,7.81,7036873,,4503.645209000213
140737488355328,15.63,9999999,,6189.801167000085
281474976710656,31.25,9999999,,6696.62591599999
562949953421312,62.5,9999999,,6097.104541999986
