i,progress,numcount,bftime,mytime
1,0,0,0.015499999999974534,0.06212500000003729
2,0,0,0.0008339999999975589,0.0036249999999995453
3,0,0,0.0012079999999627944,0.006459000000006654
4,0,0,0.0031249999999545253,0.004500000000007276
6,0,0,0.0007499999999822649,0.004415999999991982
8,0,0,0.0007089999999720931,0.004625000000032742
11,0,1,0.002625000000023192,0.007624999999961801
15,0,1,0.0014579999999568827,0.004125000000044565
20,0,1,0.0018340000000307555,0.004457999999999629
26,0,2,0.0021670000000426626,0.005499999999983629
34,0,3,0.0030830000000037217,0.0038339999999834617
45,0,4,0.003417000000013104,0.0025420000000053733
59,0,5,0.004457999999999629,0.00304199999999355
77,0,7,0.00570799999997007,0.0025420000000053733
101,0,9,0.00829199999998309,0.006708000000003267
132,0,9,0.009457999999995081,0.0027079999999841675
172,0,9,0.01095900000001393,0.0026659999999765205
224,0,9,0.014917000000025382,0.0025829999999587017
292,0,9,0.02391699999998309,0.0028330000000096334
380,0,9,0.02199999999999136,0.0027919999999994616
494,0,9,0.022999999999967713,0.003750000000025011
643,0,9,0.02641700000003766,0.0026249999999663487
836,0,9,0.03249999999997044,0.002292000000011285
1087,0,10,0.04691700000000765,0.023000000000024556
1414,0,14,0.05779200000000628,0.016832999999962794
1839,0,18,0.0887079999999969,0.017499999999984084
2391,0,23,0.156833000000006,0.0236250000000382
3109,0,30,0.06600000000003092,0.013249999999970896
4042,0,40,0.07799999999997453,0.014833000000010088
5255,0,52,0.0992090000000303,0.01191599999998516
6832,0,67,0.12858300000004874,0.007957999999973708
8882,0,87,0.17158399999999574,0.007875000000012733
11547,0,99,0.222500000000025,0.008541999999977179
15012,0,99,0.2706670000000031,0.00837500000000091
19516,0,99,0.34704099999999016,0.00837500000000091
25371,0,99,0.40912499999996044,0.008292000000039934
32983,0,99,0.49304200000000264,0.008624999999994998
42878,0,99,0.6252079999999864,0.008583999999984826
55742,0,99,0.790458000000001,0.00808399999999665
72465,0,99,0.9971249999999827,0.008125000000006821
94205,0,99,1.3497499999999718,0.009500000000002728
122467,0,122,1.896250000000009,0.053875000000005
159208,0,159,2.738999999999976,0.05341700000002447
206971,0,206,11.156124999999975,0.07304199999998673
269063,0,268,10.851458999999977,0.07679100000001426
349782,0,349,13.969666000000018,0.07162500000004002
454717,0,454,9.565207999999984,0.06524999999999181
591133,0,590,13.054250000000025,0.07379200000002584
768473,0,767,17.937749999999937,0.07583299999998871
999015,0,998,22.69658299999992,0.08216700000002675
1298720,0,999,26.84699999999998,0.08129200000007586
1688336,0,999,32.34841700000004,0.08245799999997416
2194837,0,999,39.504458,0.08291699999995217
2853289,0,999,48.7718329999999,0.09162500000002183
3709276,0,999,60.012917000000016,0.08500000000003638
4822059,0,999,76.06624999999997,0.08495800000002873
6268677,0,999,97.36591699999997,0.11808300000006966
8149281,0,999,122.87095799999997,0.08758299999999508
10594066,0,1059,162.01600000000008,0.5721670000000358
13772286,0,1377,241.03133400000002,0.5657909999999902
17903972,0,1790,343.85825,0.5749579999999241
23275164,0,2327,478.49362500000007,0.6021249999998872
30257714,0,3025,733.7154999999998,0.6210829999999987
39335029,0,3933,917.4052080000001,0.6574999999997999
51135538,0,5113,1188.8859590000002,0.818583000000217
66476200,0,6646,1578.2672080000002,0.8881670000000668
86419060,0,8641,2067.5772910000005,1.0250839999989694
112344778,0,9999,2618.5164170000007,1.0558750000000146
146048212,0,9999,3139.771832999999,1.0732499999994616
189862676,0,9999,3828.242250000001,1.036166999998386
246821479,0,9999,4736.5165830000005,1.0451670000002196
320867923,0,9999,5898.101916000003,1.1045839999969758
417128300,0,9999,7409.4600839999985,1.0414579999996931
542266790,0,9999,9398.881374999997,1.0710000000035507
704946827,0,9999,11965.965625000004,1.0548329999946873
916430876,0,9999,15316.616208,1.0360420000070008
1191360139,0,11913,21722.232417000007,7.143167000001995
1548768181,0,15487,31255.435333,6.437000000005355
2013398636,0,20133,43703.38808399999,6.731958000018494
2617418227,0,26173,70668.556458,7.344167000002926
3402643696,0,34026,115187.82279200002,8.981249999953434
4423436805,0,44233,166551.388708,7.647041999967769
5750467847,0,57504,232672.57437499997,8.31029200006742
7475608202,0,74755,318646.742083,9.934334000106901
9718290663,0,97181,431284.496208,11.163042000029236
12633777862,0,99999,551843.2961250001,11.366959000006318
16423911221,0,99999,,21.82012500008568
21351084588,0,99999,,11.117041999939829
27756409965,0,99999,,10.927875000052154
36083332955,0,99999,,11.032875000033528
46908332842,0,99999,,11.178208000026643
60980832695,0,99999,,11.221917000133544
79275082504,0,99999,,11.152457999996841
103057607256,0,103057,,75.44479200011119
133974889433,0,133974,,83.63333299988881
174167356263,0,174167,,103.0335409999825
