i,progress,numcount,bftime,mytime
1,0,0,,0.08949999999998681
2,0,0,,0.003957999999954609
3,0,0,,0.0035839999999893735
4,0,0,,0.005125000000020918
6,0,0,,0.004959000000042124
8,0,0,,0.004916999999977634
11,0,1,,0.027749999999969077
15,0,1,,0.0049159999999801585
20,0,1,,0.004457999999999629
26,0,2,,0.006916000000046552
34,0,3,,0.004166999999995369
45,0,4,,0.005541999999991276
59,0,5,,0.0030830000000037217
77,0,7,,0.002999999999985903
101,0,9,,0.00637499999999136
132,0,9,,0.003375000000005457
172,0,9,,0.003084000000001197
224,0,9,,0.0034160000000156288
292,0,9,,0.003417000000013104
380,0,9,,0.003207999999972344
494,0,9,,0.003291999999987638
643,0,9,,0.003333999999995285
836,0,9,,0.003249999999979991
1087,0,10,,0.021457999999995536
1414,0,14,,0.02087499999998954
1839,0,18,,0.020666000000005624
2391,0,23,,0.03816699999998718
3109,0,30,,0.019874999999956344
4042,0,40,,0.02279199999998127
5255,0,52,,0.024249999999994998
6832,0,67,,0.017917000000011285
8882,0,87,,0.019457999999985987
11547,0,99,,0.024750000000040018
15012,0,99,,0.019708000000036918
19516,0,99,,0.012291000000004715
25371,0,99,,0.012042000000008102
32983,0,99,,0.009208999999998468
42878,0,99,,0.008916999999996733
55742,0,99,,0.008874999999989086
72465,0,99,,0.008791999999971267
94205,0,99,,0.009082999999975527
122467,0,122,,0.05750000000000455
159208,0,159,,0.05541600000003655
206971,0,206,,0.05791600000003427
269063,0,268,,0.060374999999964984
349782,0,349,,0.06254200000000765
454717,0,454,,0.0671249999999759
591133,0,590,,0.0730829999999969
768473,0,767,,0.07916599999998652
999015,0,998,,0.08504100000004655
1298720,0,999,,0.08449999999999136
1688336,0,999,,0.08487500000001091
2194837,0,999,,0.08537499999999909
2853289,0,999,,0.08508299999999736
3709276,0,999,,0.08579199999996945
4822059,0,999,,0.08424999999999727
6268677,0,999,,0.09220800000002782
8149281,0,999,,0.08608300000003055
10594066,0,1059,,0.5657919999999876
13772286,0,1377,,0.5637499999999704
17903972,0,1790,,0.5777919999999881
23275164,0,2327,,0.6019170000000145
30257714,0,3025,,0.6102919999999585
39335029,0,3933,,0.6530839999999785
51135538,0,5113,,0.7346660000000043
66476200,0,6646,,0.7735000000000127
86419060,0,8641,,0.8950839999999971
112344778,0,9999,,0.9482499999999732
146048212,0,9999,,0.9484170000000063
189862676,0,9999,,0.9384170000000154
246821479,0,9999,,0.9626250000000027
320867923,0,9999,,0.9371670000000449
417128300,0,9999,,0.9255420000000072
542266790,0,9999,,0.9347080000000005
704946827,0,9999,,0.9238749999999527
916430876,0,9999,,0.9300830000000246
1191360139,0,11913,,6.4806670000000395
1548768181,0,15487,,6.254458
2013398636,0,20133,,14.500084000000015
2617418227,0,26173,,19.337750000000028
3402643696,0,34026,,8.370750000000044
4423436805,0,44233,,7.652042000000051
5750467847,0,57504,,8.197000000000003
7475608202,0,74755,,9.784582999999998
9718290663,0,97181,,11.080458000000021
12633777862,0,99999,,11.297500000000014
16423911221,0,99999,,11.223499999999945
21351084588,0,99999,,11.237040999999977
27756409965,0,99999,,11.19070899999997
36083332955,0,99999,,16.205583000000047
46908332842,0,99999,,11.19541700000002
60980832695,0,99999,,11.175749999999994
79275082504,0,99999,,11.193416999999954
103057607256,0,103057,,78.13512500000002
133974889433,0,133974,,88.10187500000006
174167356263,0,174167,,87.58670800000004
226417563142,0,226417,,104.12700000000007
294342832085,0,294342,,105.20604100000014
382645681711,0,382645,,114.66550000000007
497439386225,0.01,497438,,144.50129200000015
646671202093,0.01,646670,,191.33004200000005
840672562721,0.01,840671,,223.323625
1092874331538,0.01,999999,,264.3437919999999
1420736631000,0.02,999999,,283.63737500000025
1846957620300,0.02,999999,,284.61645799999997
2401044906390,0.03,999999,,291.4253329999997
3121358378307,0.03,999999,,249.0924170000003
4057765891800,0.05,999999,,286.6035829999996
5275095659340,0.06,999999,,267.4678750000003
6857624357142,0.08,999999,,277.20104200000014
8914911664285,0.1,999999,,263.02658299999985
11589385163571,0.13,1158938,,1251.4018750000005
15066200712643,0.17,1506619,,1361.206416
19586060926436,0.22,1958605,,1575.1609170000002
25461879204367,0.28,2546187,,1761.6984159999993
33100442965678,0.37,3310043,,2081.671792000001
43030575855382,0.48,4303057,,2672.226208
55939748611997,0.62,5593974,,3264.319374999999
72721673195597,0.81,7272166,,3988.0880829999987
94538175154277,1.05,9453816,,5551.679708
122899627700561,1.36,9999999,,5573.776542
159769516010730,1.77,9999999,,6044.919499999996
207700370813949,2.31,9999999,,5650.785875000001
270010482058134,3,9999999,,5746.663334000004
351013626675575,3.9,9999999,,5914.085583
456317714678248,5.07,9999999,,5588.338374999999
593213029081723,6.59,9999999,,5773.661207999998
771176937806240,8.56,9999999,,5623.5815830000065
1002530019148112,11.13,10025300,,16557.700457999992
1303289024892546,14.47,13032890,,18116.186333000005
1694275732360310,18.81,16942756,,21262.873083000013
2202558452068403,24.45,22025583,,24216.216291999997
2863325987688924,31.79,28633258,,28900.125833
3722323783995602,41.33,37223235,,35748.4265
4839020919194283,53.72,48390206,,43326.991125
6290727194952568,69.84,62907268,,59374.584875
8177945353438339,90.79,81779448,,79814.87058400002
9007199254740990,100,90071986,,74994.043542
