i,progress,numcount,bftime,mytime
1,0,0,,0.12408299999999883
2,0,0,,0.00304199999999355
3,0,0,,0.003333999999995285
4,0,0,,0.0013749999999959073
6,0,0,,0.0018330000000048585
8,0,0,,0.002082999999998947
11,0,1,,0.02470800000000395
15,0,1,,0.014541999999991617
20,0,1,,0.007041999999998438
26,0,2,,0.006833000000000311
34,0,3,,0.00708300000000861
45,0,4,,0.007041999999998438
59,0,5,,0.010583000000011111
77,0,7,,0.007625000000004434
101,0,9,,0.007874999999998522
132,0,9,,0.010499999999993292
172,0,9,,0.0095839999999896
224,0,9,,0.009541999999996165
292,0,9,,0.009666999999993209
380,0,9,,0.014582999999987578
494,0,9,,0.0098339999999979
643,0,9,,0.009665999999995734
836,0,9,,0.011957999999992808
1087,0,10,,0.45283399999999574
1414,0,14,,0.4771250000000009
1839,0,18,,0.020459000000002447
2391,0,23,,0.012791000000007102
3109,0,30,,0.013041999999998666
4042,0,40,,0.011791999999999803
5255,0,52,,0.015917000000001735
6832,0,67,,0.018291000000004942
8882,0,87,,0.018833000000000766
11547,0,99,,0.04912500000000364
15012,0,99,,0.021083000000004404
19516,0,99,,0.019458999999997673
25371,0,99,,0.0191250000000025
32983,0,99,,0.018041000000010854
42878,0,99,,0.020624999999995453
55742,0,99,,0.017540999999994256
72465,0,99,,0.019249999999999545
94205,0,99,,0.03279099999998891
122467,0,122,,0.1161249999999967
159208,0,159,,0.1145829999999961
206971,0,206,,0.11591700000001026
269063,0,268,,0.1350840000000062
349782,0,349,,0.14683300000000088
454717,0,454,,0.13945800000000474
591133,0,590,,0.14483299999999133
768473,0,767,,0.15937499999999716
999015,0,998,,0.169667000000004
1298720,0,999,,0.19729199999999025
1688336,0,999,,0.17624999999999602
2194837,0,999,,0.1751250000000084
2853289,0,999,,0.19070800000000077
3709276,0,999,,0.17683300000000202
4822059,0,999,,0.17545899999998937
6268677,0,999,,0.17591600000000085
8149281,0,999,,0.17600000000000193
10594066,0,1059,,1.203084000000004
13772286,0,1377,,1.2815829999999977
17903972,0,1790,,1.4939999999999998
23275164,0,2327,,0.9140419999999949
30257714,0,3025,,0.763582999999997
39335029,0,3933,,0.7873339999999871
51135538,0,5113,,0.9436659999999932
66476200,0,6646,,1.0126670000000075
86419060,0,8641,,0.9182909999999964
112344778,0,9999,,0.8059169999999938
146048212,0,9999,,0.7736249999999956
189862676,0,9999,,0.8494999999999919
246821479,0,9999,,0.8412919999999957
320867923,0,9999,,0.8004159999999985
417128300,0,9999,,0.8226250000000022
542266790,0,9999,,0.8565409999999929
704946827,0,9999,,0.808084000000008
916430876,0,9999,,0.8323329999999913
1191360139,0,11913,,8.468582999999995
1548768181,0,15487,,7.088875000000002
2013398636,0,20133,,7.266041999999999
2617418227,0,26173,,6.88670900000001
3402643696,0,34026,,7.7848749999999995
4423436805,0,44233,,7.224541999999985
5750467847,0,57504,,7.658958999999982
7475608202,0,74755,,10.901792
9718290663,0,97181,,9.353874999999988
12633777862,0,99999,,10.506667000000022
16423911221,0,99999,,13.626958000000002
21351084588,0,99999,,10.651790999999974
27756409965,0,99999,,13.429708000000005
36083332955,0,99999,,10.563542000000012
46908332842,0,99999,,15.056583000000018
60980832695,0,99999,,11.362292000000025
79275082504,0,99999,,13.385832999999991
103057607256,0,103057,,85.17570899999998
133974889433,0,133974,,103.42299999999994
174167356263,0,174167,,97.58533399999999
226417563142,0,226417,,125.86312499999997
294342832085,0,294342,,115.36629199999993
382645681711,0,382645,,137.353834
497439386225,0.01,497438,,157.70608300000004
646671202093,0.01,646670,,165.13300000000004
840672562721,0.01,840671,,255.54695900000002
1092874331538,0.01,999999,,275.2821250000002
1420736631000,0.02,999999,,255.76212499999997
1846957620300,0.02,999999,,262.1321250000001
2401044906390,0.03,999999,,287.4612910000001
3121358378307,0.03,999999,,287.2616250000001
4057765891800,0.05,999999,,256.24604199999976
5275095659340,0.06,999999,,271.95670800000016
6857624357142,0.08,999999,,277.465459
8914911664285,0.1,999999,,265.312625
11589385163571,0.13,1158938,,1169.4590829999997
15066200712643,0.17,1506619,,1266.300792
19586060926436,0.22,1958605,,1408.4411250000003
25461879204367,0.28,2546187,,1536.041041999999
33100442965678,0.37,3310043,,1837.634333
43030575855382,0.48,4303057,,2084.335459
55939748611997,0.62,5593974,,2484.3119580000002
72721673195597,0.81,7272166,,3220.9229159999995
94538175154277,1.05,9453816,,4143.663208000002
122899627700561,1.36,9999999,,4115.688457999997
159769516010730,1.77,9999999,,4572.134084000001
207700370813949,2.31,9999999,,4726.875625000004
270010482058134,3,9999999,,4565.405792000005
351013626675575,3.9,9999999,,4457.015083999999
456317714678248,5.07,9999999,,4808.034
593213029081723,6.59,9999999,,5177.475874999996
771176937806240,8.56,9999999,,4798.5848750000005
1002530019148112,11.13,10025300,,82986.698917
1303289024892546,14.47,13032890,,129923.20137500003
1694275732360310,18.81,16942757,,217539.716334
2202558452068403,24.45,22025584,,377440.84849999996
2863325987688924,31.79,28633259,,530517.8439170001
3722323783995602,41.33,37223237,,614781.151792
