i,progress,numcount,numcount_2,bftime,mytime
1,0,0,0,,0.011292000000025837
2,0,0,0,,0.0025409999999510546
3,0,0,0,,0.00100000000009004
4,0,0,0,,0.001082999999994172
6,0,0,0,,0.0009169999999585343
8,0,0,0,,0.001125000000001819
11,0,1,1,,0.003375000000005457
15,0,1,1,,0.0017500000000154614
20,0,1,1,,0.0017910000000256332
26,0,2,2,,0.00254199999994853
34,0,3,3,,0.0020839999999680003
45,0,4,4,,0.001958000000058746
59,0,5,5,,0.002916000000027452
77,0,7,7,,0.002166999999985819
101,0,9,9,,0.0027079999999841675
132,0,9,10,,0.0038329999999859865
172,0,9,10,,0.0025000000000545697
224,0,9,11,,0.0026659999999765205
292,0,9,11,,0.0027079999999841675
380,0,9,12,,0.0030000000000427463
494,0,9,13,,0.0027499999999918145
643,0,9,14,,0.0027919999999994616
836,0,9,16,,0.0026669999999739957
1087,0,10,19,,0.012166999999976724
1414,0,14,23,,0.012458000000037828
1839,0,18,27,,0.013541000000032
2391,0,23,32,,0.012541999999939435
3109,0,30,39,,0.013958000000002357
4042,0,40,49,,0.014290999999957421
5255,0,52,61,,0.014916999999968539
6832,0,67,76,,0.017875000000003638
8882,0,87,96,,0.01850000000001728
11547,0,99,109,,0.020125000000007276
15012,0,99,109,,0.01941599999997834
19516,0,99,109,,0.019042000000013104
25371,0,99,110,,0.018625000000042746
32983,0,99,110,,0.019207999999935055
42878,0,99,111,,0.019292000000064036
55742,0,99,113,,0.019334000000071683
72465,0,99,114,,0.019416999999975815
94205,0,99,116,,0.019457999999985987
122467,0,122,142,,0.10612500000002001
159208,0,159,182,,0.11187499999994088
206971,0,206,234,,0.11316599999997834
269063,0,268,301,,0.1230839999999489
349782,0,349,389,,0.12645800000007057
454717,0,454,504,,0.13308299999994233
591133,0,590,652,,0.14975000000004002
768473,0,767,846,,0.16420800000003055
999015,0,998,1097,,0.18650000000002365
1298720,0,999,1099,,0.18866700000000947
1688336,0,999,1099,,0.18554199999994125
2194837,0,999,1099,,0.20962500000007367
2853289,0,999,1100,,0.1857079999999769
3709276,0,999,1101,,0.18633299999999053
4822059,0,999,1102,,0.1895830000000842
6268677,0,999,1103,,0.20083299999998871
8149281,0,999,1105,,0.1731249999999136
10594066,0,1059,1167,,1.0004999999999882
13772286,0,1377,1485,,1.0237089999999398
17903972,0,1790,1898,,1.066167000000064
23275164,0,2327,2435,,1.119374999999991
30257714,0,3025,3133,,1.1634159999999838
39335029,0,3933,4041,,1.2241250000000719
51135538,0,5113,5221,,1.4250419999999622
66476200,0,6646,6754,,1.5111249999999927
86419060,0,8641,8749,,2.231583999999998
112344778,0,9999,10120,,1.9530419999999822
146048212,0,9999,10153,,1.9387500000000273
189862676,0,9999,10197,,1.9864999999999782
246821479,0,9999,10254,,1.9396659999999883
320867923,0,9999,10328,,1.9507500000000846
417128300,0,9999,10424,,1.9818750000000591
542266790,0,9999,10549,,1.9795420000000377
704946827,0,9999,10712,,1.9750829999999269
916430876,0,9999,10923,,1.9882499999999936
1191360139,0,11913,12922,,11.186459000000013
1548768181,0,15487,16500,,11.622833000000014
2013398636,0,20133,21150,,12.26075000000003
2617418227,0,26173,27195,,12.83604200000002
3402643696,0,34026,35055,,16.555124999999975
