i,progress,numcount,bftime,mytime
1,0,0,,0.06541599999997061
2,0,0,,0.004000000000019099
3,0,0,,0.003916000000003805
4,0,0,,0.0049579999999878055
6,0,0,,0.004916999999977634
8,0,0,,0.0049159999999801585
11,0,1,,0.029124999999964984
15,0,1,,0.004625000000032742
20,0,1,,0.00454199999995808
26,0,2,,0.007458000000042375
34,0,3,,0.0060829999999896245
45,0,4,,0.005249999999989541
59,0,5,,0.00333299999999781
77,0,7,,0.003417000000013104
101,0,9,,0.005499999999983629
132,0,9,,0.003917000000001281
172,0,9,,0.0037079999999605207
224,0,9,,0.003916999999944437
292,0,9,,0.004041000000029271
380,0,9,,0.0037499999999681677
494,0,9,,0.003750000000025011
643,0,9,,0.003916000000003805
836,0,9,,0.0037909999999783395
1087,0,10,,0.022999999999967713
1414,0,14,,0.02708300000000463
1839,0,18,,0.021834000000012566
2391,0,23,,0.02908300000001418
3109,0,30,,0.02487500000000864
4042,0,40,,0.02779099999997925
5255,0,52,,0.02704199999999446
6832,0,67,,0.02862500000003365
8882,0,87,,0.03129200000000765
11547,0,99,,0.027000000000043656
15012,0,99,,0.0160420000000272
19516,0,99,,0.015749999999968622
25371,0,99,,0.01570800000001782
32983,0,99,,0.015667000000007647
42878,0,99,,0.015667000000007647
55742,0,99,,0.022625000000005002
72465,0,99,,0.013958000000002357
94205,0,99,,0.013166000000012446
122467,0,122,,0.06166600000000244
159208,0,159,,0.0665000000000191
206971,0,206,,0.07200000000000273
269063,0,268,,0.07749999999998636
349782,0,349,,0.08683299999995597
454717,0,454,,0.09724999999997408
591133,0,590,,0.11170900000001893
768473,0,767,,0.13129200000003038
999015,0,998,,0.15537499999999227
1298720,0,999,,0.15541699999999992
1688336,0,999,,0.15791600000000017
2194837,0,999,,0.15679199999999582
2853289,0,999,,0.15620899999998983
3709276,0,999,,0.15508299999999053
4822059,0,999,,0.15612499999997453
6268677,0,999,,0.16412500000001273
8149281,0,999,,0.158333999999968
10594066,0,1059,,0.6571660000000179
13772286,0,1377,,0.7019579999999905
17903972,0,1790,,0.7773750000000064
23275164,0,2327,,0.8708750000000123
30257714,0,3025,,1.0179999999999723
39335029,0,3933,,1.2058749999999918
51135538,0,5113,,1.3934579999999528
66476200,0,6646,,1.6626249999999914
86419060,0,8641,,1.9016249999999673
112344778,0,9999,,2.0648330000000215
146048212,0,9999,,2.1097090000000094
189862676,0,9999,,2.0860000000000127
246821479,0,9999,,2.0835839999999735
320867923,0,9999,,2.0712500000000205
417128300,0,9999,,2.0660839999999894
542266790,0,9999,,2.1021670000000086
704946827,0,9999,,2.0692090000000007
916430876,0,9999,,2.075290999999993
1191360139,0,11913,,10.035957999999994
1548768181,0,15487,,22.22241600000001
2013398636,0,20133,,38.656875000000014
2617418227,0,26173,,29.56945900000005
3402643696,0,34026,,42.981583
4423436805,0,44233,,54.175416999999925
5750467847,0,57504,,66.79233299999999
7475608202,0,74755,,78.82633299999998
9718290663,0,97181,,87.45074999999997
12633777862,0,99999,,88.69312500000001
16423911221,0,99999,,87.8459170000001
21351084588,0,99999,,87.78104100000019
27756409965,0,99999,,87.92283399999997
36083332955,0,99999,,87.85254199999986
46908332842,0,99999,,87.88816599999996
60980832695,0,99999,,87.98108399999978
79275082504,0,99999,,89.02175000000011
103057607256,0,103057,,180.28320900000017
133974889433,0,133974,,662.4230419999999
174167356263,0,174167,,1243.184291
226417563142,0,226417,,1957.1857079999995
294342832085,0,294342,,2816.3067499999997
382645681711,0,382645,,3827.8309580000005
497439386225,0.01,497438,,4947.881874999999
646671202093,0.01,646670,,6088.445458999999
840672562721,0.01,840671,,6959.897707999997
1092874331538,0.01,999999,,7187.042332999998
1420736631000,0.02,999999,,7213.2667500000025
1846957620300,0.02,999999,,7230.453708000001
2401044906390,0.03,999999,,7210.899833000003
3121358378307,0.03,999999,,7204.590666999997
4057765891800,0.05,999999,,7223.616500000004
5275095659340,0.06,999999,,7159.151166999989
6857624357142,0.08,999999,,7224.283540999997
8914911664285,0.1,999999,,7196.5608340000035
11589385163571,0.13,1158938,,32101.694749999995
15066200712643,0.17,1506619,,84447.90887500001
19586060926436,0.22,1958605,,156647.59695900002
25461879204367,0.28,2546187,,247185.25366600003
33100442965678,0.37,3310043,,331929.194333
43030575855382,0.48,4303057,,440705.84699999995
